date,species,individual,type unit,numero unit,heure UTC ON,heure UTC calibr start,Type Calibr start,heure UTC calibr end,Type Calibr end,heure UTC OFF,Frequence (Hz),Rem
30/06/2018,Black Kite,KLEA,AT,G,08:16:00,08:24:00,5 heave + 5 surge + sway,15:05:45,5 heave + 5 surge + sway,15:34:30,25,
30/06/2018,PYGTB,LAFAYETTE/DAGOBERT,AT,H,08:16:00,08:24:00,5 heave + 5 surge + sway,15:05:45,5 heave + 5 surge + sway,15:34:10,25,
30/06/2018,RAV,KAN,AT,I,08:16:00,08:24:00,5 heave + 5 surge + sway,15:05:45,5 heave + 5 surge + sway,15:35:03,25,
30/06/2018,PYGTB,DAKOTA/ RANTANPLAN,AT,J,08:16:00,08:24:00,5 heave + 5 surge + sway,15:05:45,5 heave + 5 surge + sway,15:34:44,25,
30/06/2018,VF,HENRI,ORNI,87,,,,15:05:45,5 heave + 5 surge + sway,15:06:45,2,no calibration
30/06/2018,VF,HERCULE,ORNI,066/088,,,,15:05:45,5 heave + 5 surge + sway,15:07:17,2,no calibration
01/07/2018,VF,HERCULE (LL),GIPSY1,3,07:51:12,08:00:20,5 heave + 5 surge + sway,15:14:00,5 heave + 5 surge + sway,15:21:20,4,first calibration at 07:56:35 but not to take into account because some loggers hadn't stop blinking and some AT were in the wrong direction
01/07/2018,VF,HERCULE (BP),GIPSY1,4,07:51:12,08:00:20,5 heave + 5 surge + sway,15:14:00,5 heave + 5 surge + sway,15:21:40,4,
01/07/2018,VH,GISELE,GIPSY1,5,07:51:12,08:00:20,5 heave + 5 surge + sway,15:14:00,5 heave + 5 surge + sway,15:22:55,4,
01/07/2018,VF,HENRI,GIPSY1,6,07:51:12,08:00:20,5 heave + 5 surge + sway,15:14:00,5 heave + 5 surge + sway,15:23:15,4,
01/07/2018,RAV,MANU,GIPSY1,13,07:51:12,08:00:20,5 heave + 5 surge + sway,15:14:00,5 heave + 5 surge + sway,15:21:05,4,
01/07/2018,VH,GAELLE,GIPSY1,14,07:51:12,08:00:20,5 heave + 5 surge + sway,15:14:00,5 heave + 5 surge + sway,15:22:00,4,
01/07/2018,CONDOR,KUZCO,GIPSY5,B,07:51:50,08:00:20,5 heave + 5 surge + sway,15:14:00,5 heave + 5 surge + sway,15:23:39,5,
01/07/2018,CONDOR,KUZCO,AXY1,1,07:52:40,08:00:20,5 heave + 5 surge + sway,15:14:00,5 heave + 5 surge + sway,15:25:04,25,
01/07/2018,VH,GAELLE,AXY1,2,07:53:00,08:00:20,5 heave + 5 surge + sway,15:14:00,5 heave + 5 surge + sway,15:25:20,25,too high values start and end calibrations not found
01/07/2018,VF,HERCULE (LL),AXY1,3,07:54:35,08:00:20,5 heave + 5 surge + sway,15:14:00,5 heave + 5 surge + sway,15:24:00,25,
01/07/2018,VF,HERCULE (BP),AXY1,4,07:53:23,08:00:20,5 heave + 5 surge + sway,15:14:00,5 heave + 5 surge + sway,15:24:15,25,
01/07/2018,VH,GISELE,AGM,5,07:54:50,08:00:20,5 heave + 5 surge + sway,15:14:00,5 heave + 5 surge + sway,15:25:59,25,
01/07/2018,VF,HENRI,AGM,6,07:55:00,08:00:20,5 heave + 5 surge + sway,15:14:00,5 heave + 5 surge + sway,15:26:14,25,
01/07/2018,RAV,MANU,AGM,7,07:55:10,08:00:20,5 heave + 5 surge + sway,15:14:00,5 heave + 5 surge + sway,15:25:40,25,
01/07/2018,RAV,KAN,AT,G,07:52:10,08:00:20,5 heave + 5 surge + sway,15:14:00,5 heave + 5 surge + sway,15:26:45,25,
01/07/2018,PYGTB,DAKOTA,AT,H,07:52:10,08:00:20,5 heave + 5 surge + sway,,5 heave + 5 surge + sway,,25,Fell in water after 2nd flight
01/07/2018,VOC/PYGTB,SHARON/DAGOBERT,AT,I,07:52:10,08:00:20,5 heave + 5 surge + sway,15:14:00,5 heave + 5 surge + sway,15:27:11,25,
01/07/2018,Black Kite,KLEA,AT,J,07:52:10,08:00:20,5 heave + 5 surge + sway,15:14:00,5 heave + 5 surge + sway,15:26:29,25,
01/07/2018,RUPPEL,KIRIKOU,ORNI,87,08:20:00,,5 heave + 5 surge + sway,,5 heave + 5 surge + sway,15:12:00,2,no calibration
01/07/2018,VF,LEON,ORNI,88,08:20:00,,5 heave + 5 surge + sway,,5 heave + 5 surge + sway,15:11:20,2,no calibration
01/07/2018,VF,GREGOIRE,ORNI,89,08:20:00,,5 heave + 5 surge + sway,,5 heave + 5 surge + sway,15:11:00,2,no calibration
