matchID,date,group,age,species,individual,GPS_id,ACC_id,harness_type,flight,heure.UTC.release.first,TAKE.OFF.Heure.UTC.GPS,LANDING.Heure.UTC.GPS,heure.UTC.GROUND,heure.UTC.perch,Notes
25/06/2018_LAFAYETTE_A,25/06/2018,NA,NA,PYGTB,LAFAYETTE,A,1,LegLoop,2,?,13:02:07.80,NA,13:08:08,13:08:08,"box opened before fllights, axy01 fallen and stopped : no recording of ACC, but GPS OK"
25/06/2018_LEON_13,25/06/2018,2,young,VF,LEON,13,7,LegLoop,1,11:24:15,11:24:12.50,12:33:25.25,12:33:35,?,
25/06/2018_LEON_13,25/06/2018,2,young,VF,LEON,13,7,LegLoop,3,14:25:25,14:25:24.50,14:38:46.25,14:38:46,?,
25/06/2018_MANU_H,25/06/2018,1,OLD,RAV,MANU,H,H,tail,1,11:22:00,172352,188477,NA,11:30:52.00,
25/06/2018_MANU_H,25/06/2018,1,OLD,RAV,MANU,H,H,tail,3,14:23:05,446702,470927,14:39:15,14:39:15,
26/06/2018_GAELLE_6,26/06/2018,1,young,VH,GAELLE,6,6,LegLoop,1,11:19:00,11:19:10.25,11:39:56.50,11:40:00,?,
26/06/2018_GAELLE_6,26/06/2018,1,young,VH,GAELLE,6,6,LegLoop,2,12:45:10,12:45:06.50,13:07:16.75,13:07:20,13:08:48,
26/06/2018_GAELLE_6,26/06/2018,1,young,VH,GAELLE,6,6,LegLoop,3,14:21:23,14:21:22.75,14:36:56.25,14:37:00,?,
26/06/2018_GISELE_10,26/06/2018,2,OLD,VH,GISELE,10,10,BackPack,1,11:22:16,11:22:15.50,12:16:14.25,12:16:15,12:17:10,Timestamp not matching with ending time after re-assigning correct time. Maybe changing sampling frequency.
26/06/2018_GISELE_10,26/06/2018,2,OLD,VH,GISELE,10,10,BackPack,2,12:48:46,12:48:45.00,13:52:35.75,13:52:39,?,Timestamp not matching with ending time after re-assigning correct time. Maybe changing sampling frequency.
26/06/2018_GISELE_10,26/06/2018,2,OLD,VH,GISELE,10,10,BackPack,3,14:23:16,14:23:17.25,14:38:11.75,14:38:11,?,Timestamp not matching with ending time after re-assigning correct time. Maybe changing sampling frequency.
26/06/2018_GREGOIRE_G,26/06/2018,2,OLD,VF,GREGOIRE,G,G,tail,1,11:22:35,276252,00:00:00,11:46:20,NA,
26/06/2018_GREGOIRE_G,26/06/2018,2,OLD,VF,GREGOIRE,G,G,tail,2,12:49:02,406052,444502,13:14:19,?,
26/06/2018_GREGOIRE_G,26/06/2018,2,OLD,VF,GREGOIRE,G,G,tail,3,14:23:34,547777,577277,14:42:54,?,
26/06/2018_HENRI_5,26/06/2018,2,OLD,VF,HENRI,5,5,BackPack,1,11:22:25,11:22:23.25,11:37:13.50,11:37:20,?,
26/06/2018_HENRI_5,26/06/2018,2,OLD,VF,HENRI,5,5,BackPack,2,12:48:54,12:48:52.25,NA,13:15:00,?,
26/06/2018_HENRI_5,26/06/2018,2,OLD,VF,HENRI,5,5,BackPack,3,14:23:23,14:23:24.00,14:38:08.75,14:38:11,?,
26/06/2018_HERCULE_I,26/06/2018,1,young,VF,HERCULE,I,I,tail,1,11:19:00,273427,297052,11:36:37,?,
26/06/2018_HERCULE_4,26/06/2018,1,young,VF,HERCULE,4,4,LegLoop,2,12:46:02,12:46:47.24,12:52:29.74,?,?,
26/06/2018_HERCULE_I,26/06/2018,1,young,VF,HERCULE,I,I,tail,2,12:46:02,404852,41177,?,?,
26/06/2018_HERCULE_I,26/06/2018,1,young,VF,HERCULE,I,I,tail,3,14:20:35,548977,602127,14:59:58,NA,
26/06/2018_HERCULE_I + 4,26/06/2018,1,young,VF,HERCULE,4,4,LegLoop,3,14:20:35,14:24:24.99,14:59:50.75,14:59:58,?,
26/06/2018_KHAN_3,26/06/2018,1,young,RAV,KHAN,3,3,LegLoop,1,11:20:08,11:20:06.25,11:57:01.50,11:57:03,?,
26/06/2018_KIRIKOU_13,26/06/2018,1,young,RUPPEL,KIRIKOU,13,7,BackPack,1,11:19:32,11:19:28.75,12:19:21.75,12:19:22,?,
26/06/2018_KIRIKOU_13,26/06/2018,1,young,RUPPEL,KIRIKOU,13,7,BackPack,2,12:45:35,12:45:27.50,12:56:40.25,12:56:45,?,
26/06/2018_KIRIKOU_13,26/06/2018,1,young,RUPPEL,KIRIKOU,13,7,BackPack,3,14:21:20,14:21:30.75,14:51:23.00,14:51:25,?,
26/06/2018_KLEA_Z,26/06/2018,NA,NA,Black Kite,KLEA,Z,Z,LegLoop,1,11:13:00,NA,NA,NA,?,
26/06/2018_KLEA_Z,26/06/2018,NA,NA,Black Kite,KLEA,Z,Z,LegLoop,2,12:40:00,NA,NA,NA,12:54:35,
26/06/2018_KUZCO_H,26/06/2018,1,young,CONDOR,KUZCO,H,H,tail,1,11:18:50,273077,287652,11:30:22,?,
26/06/2018_KUZCO_H,26/06/2018,1,young,CONDOR,KUZCO,H,H,tail,2,12:35:00,401127,425827,13:02:18,?,
26/06/2018_LEON_J,26/06/2018,1,young,VF,LEON,J,J,tail,1,11:19:00,271677,302552,11:40:00,?,
26/06/2018_LEON_J,26/06/2018,1,young,VF,LEON,J,J,tail,2,12:45:35,401177,441527,13:12:49,?,
26/06/2018_LEON_J,26/06/2018,1,young,VF,LEON,J,J,tail,3,14:21:13,544502,570052,14:38:11,?,
26/06/2018_MANU_3,26/06/2018,2,OLD,RAV,MANU,3,3,BackPack,2,12:48:34,12:48:33.00,13:20:00.00,NA,13:20:01,
27/06/2018_DAKOTA_A,27/06/2018,together,OLD,PYGTB,DAKOTA,A,1,LegLoop,1,11:38:53,11:38:50.80,12:06:12.00,12:06:00,?,
27/06/2018_GAELLE_13,27/06/2018,together,young,VH,GAELLE,13,7,LegLoop,1,11:25:40,11:25:38.50,11:45:24.25,11:45:23,11:46:04,
27/06/2018_GAELLE_13,27/06/2018,2,young,VH,GAELLE,13,7,LegLoop,2,12:55:17,12:55:19.00,13:19:35.75,13:19:34,NA,
27/06/2018_GAELLE_13,27/06/2018,2,young,VH,GAELLE,13,7,LegLoop,3,14:25:34,14:25:33.00,14:52:43.00,14:52:45,14:54:06,
27/06/2018_GISELE_6,27/06/2018,together,OLD,VH,GISELE,6,6,BackPack,1,11:24:11,11:24:12.25,12:01:31.00,12:01:32,12:02:25,
27/06/2018_GISELE_6,27/06/2018,1,OLD,VH,GISELE,6,6,BackPack,2,12:52:15,12:52:44.75,13:24:36.00,13:24:40,13:25:25,
27/06/2018_GISELE_6,27/06/2018,1,OLD,VH,GISELE,6,6,BackPack,3,14:22:56,14:22:56.25,14:54:06.00,14:54:06,14:54:47,
